check,漢字,音読み,訓読み,総画数,部首,用例,例文
1,嫌,ケン・ゲン,いや・うたが-う・きら-う,13画,女部,嫌悪,彼の態度にケンオを覚えてしまう。
1,献,ケン・コン,ささ-げる・たてまつ-る・まつ-る,13画,犬部,献金,企業によるケンキンが話題となった。
1,弦,ゲン,つる,8画,弓部,弦楽,ゲンガク四重奏の演奏を鑑賞した。
1,侯,コウ,きみ・まと,9画,人部,侯爵,物語にはコウシャクが登場していた。
1,江,コウ,え,6画,水部,長江,チョウコウは中国を流れる大河だ。
1,洪,コウ,おおみず,9画,水部,洪水,昨夜の豪雨でコウズイが発生した。
1,溝,コウ,どぶ・みぞ,13画,水部,海溝,深海には巨大なカイコウが存在する。
1,肯,コウ,あ-えて・うなず-く・うべな-う・がえん-じる,8画,肉部,肯定,彼はコウテイも否定もしなかった。
1,衡,コウ,くびき・はかり・はか-る,16画,行部,平衡,天秤がヘイコウを保って止まった。
1,購,コウ,あがな-う,17画,貝部,購買,購買部ではコウバイ計画を見直した。
1,剛,ゴウ,かた-い・つよ-い,10画,刀部,剛健,彼はゴウケンな体と心を持っている。
1,拷,ゴウ,う-つ,9画,手部,拷問,昔の裁判でゴウモンが行われていた。
1,酷,コク,きび-しい・はなは-だしい・ひど-い・むご-い,14画,酉部,酷使,過労で社員をコクシしてはならない。
1,懇,コン,ねんご-ろ,17画,心部,懇親,地域住民とのコンシン会が開かれた。
1,昆,コン,あに,8画,日部,昆虫,子供たちはコンチュウ採集を楽しんだ。
1,碁,ゴ,,13画,石部,碁盤,祖父はゴバンを前に考え込んでいた。
1,呉,ゴ,くれ・く-れる,7画,口部,呉服,母は老舗でゴフクを誂えてもらった。
1,唆,サ,そそのか-す,10画,口部,示唆,先生の発言が重要なシサとなった。
1,詐,サ,あざむ-く・いつわ-り・いつわ-る,12画,言部,詐欺,高齢者を狙うサギに注意が必要だ。
1,宰,サイ,つかさど-る,10画,宀部,宰相,国王を支えるサイショウが任命された。
1,斎,サイ,いつ-く・つつし-む・とき・ものいみ,11画,文部,斎場,静かなサイジョウで最後の別れをした。
1,栽,サイ,う-える,10画,木部,栽培,庭では野菜のサイバイを続けている。
1,砕,サイ,くだ-く・くだ-ける,9画,石部,粉砕,石をフンサイする機械が稼働した。
1,斉,セイ,ととの-える・ひと-しい・ものいみ,8画,文部,一斉,開始時刻にイッセイに拍手が起きた。
1,索,サク,さが-す・つな・なわ・もと-める,10画,糸部,検索,資料をケンサクして情報を探した。
1,爵,サク・シャク,さかずき,17画,爪部,男爵,物語にはダンシャクが登場している。
1,酢,サク・ソ,す・す-い,12画,酉部,酢酸,実験でサクサンの性質を調べた。
1,傘,サン,かさ,12画,人部,参加,多くの市民がサンカを表明した。
1,杉,,すぎ,7画,木部,杉,庭には大きなスギが立っている。
1,桟,サン,かけはし・たな,10画,木部,桟橋,港のサンバシに船が着岸した。
1,漸,ザン・セン・ゼン,すす-む・やや・ようや-く,14画,水部,漸近,曲線はゼンキンしながら伸びていた。
1,嗣,シ,つ-ぐ,13画,口部,嫡嗣,彼は家督を継ぐチャクシとされた。
1,肢,シ,てあし,8画,肉部,四肢,事故でシシを負傷してしまった。
1,賜,シ,たま-う・たまもの・たまわ-る,15画,貝部,恩師,卒業後もオンシへ手紙を書いた。
1,漆,シチ・シツ,うるし,14画,水部,漆黒,空はまるでシッコクの闇のようだ。
1,遮,シャ,さえぎ-る,14画,辵部,遮光,部屋にシャコウカーテンを付けた。
1,蛇,ジャ,へび,11画,虫部,蛇口,古い蛇口のジャグチを交換した。
1,酌,シャク,く-む,10画,酉部,酌量,裁判でシャクリョウの余地が認められた。
1,珠,シュ,たま,10画,玉部,珠玉,短歌集にはシュギョクの作品が並ぶ。
1,囚,シュウ,とら-える・とら-われる,5画,囗部,囚人,脱獄したシュウジンが捕えられた。
1,臭,シュウ,くさ-い・にお-う,9画,自部,異臭,台所からイシュウが漂ってきた。
1,愁,シュウ,うれ-い・うれ-える,13画,心部,愁傷,ご遺族へシュウショウの意を伝えた。
1,酬,シュウ,むく-いる,13画,酉部,報酬,努力に見合うホウシュウを得られた。
1,醜,シュウ,しこ・たぐい・にく-む・みにく-い,17画,酉部,醜態,会議でのシュウタイを深く反省した。
1,充,シュウ・ジュウ,あ-てる・み-たす・み-ちる・み-つ,6画,儿部,充実,休暇中はジュウジツした日々だった。
1,汁,シュウ・ジュウ,しる・つゆ,5画,水部,果汁,朝食にカジュウ百パーセントを飲んだ。
1,渋,シュウ・ジュウ,しぶ・しぶ-い・しぶ-る,11画,水部,渋滞,事故の影響でジュウタイが続いている。
1,崇,スウ,あが-める・お-わる・たか-い・たっと-ぶ・とうと-ぶ,11画,山部,崇拝,人々は古くから神をスウハイした。
1,叔,シュク,わか-い,8画,又部,叔父,週末はオジと釣りへ出かけた。
1,淑,シュク,しと-やか・よ-い,11画,水部,淑女,彼女は誰もが認めるシュクジョだ。
1,粛,シュク,つつし-む,11画,聿部,粛清,政敵へのシュクセイが始まった。
1,俊,シュン,すぐ-れる,9画,人部,俊敏,彼はシュンビンな動きでかわした。
1,准,シュン・ジュン,なぞら-える・ゆる-す,10画,冫部,批准,条約は議会でヒジュンされた。
1,庶,ショ,おお-い・こいねが-う・もろもろ,11画,广部,庶民,ショミンの暮らしを守る政策だ。
1,緒,ショ・チョ,いとぐち・お,14画,糸部,内緒,その話はナイショにしておいてね。
1,償,ショウ,つぐな-う,17画,人部,償還,満期時に国債のショウカンを受けた。
1,升,ショウ,のぼ-る・ます,4画,十部,升目,原稿用紙のマスメを丁寧に埋めた。
1,宵,ショウ,よい,10画,宀部,徹宵,テッショウで研究を続けていた。
1,尚,ショウ,くわ-える・たっと-ぶ・とうと-ぶ・なお,8画,小部,尚古,父はショウコ趣味の骨董品を好む
1,彰,ショウ,あき-らか・あらわ-す・あらわ-れる,14画,彡部,表彰,功績が認められヒョウショウされた。
1,渉,ショウ,かか-わる・わた-る,11画,水部,渉外,彼は会社のショウガイ業務を担当する。
1,症,ショウ,しるし,10画,疒部,症状,風邪のショウジョウが軽くなった。
1,硝,ショウ,,12画,石部,硝煙,戦場にはショウエンが立ちこめた。
1,礁,ショウ,かくれいわ,17画,石部,暗礁,船は危うくアンショウを避けた。
1,祥,ショウ,きざ-し・さいわ-い・さち,10画,示部,発祥,祭り発祥のハッショウ地を訪ねた。
1,肖,ショウ,あやか-る・かたど-る・に-る,7画,肉部,肖像,壁に有名画家のショウゾウが飾られた。
1,詔,ショウ,,,,詔勅,天皇のショウチョクが公布された。
1,訟,ショウ・ジュ,うった-え・うった-える,11画,言部,訴訟,企業間でソショウ問題が続いている。
1,奨,ショウ・ソウ,すす-める,13画,大部,推奨,医師もスイショウする健康法だ。
1,抄,ショウ・ソウ,うつ-す・かすめ-る・す-く・すく-う,7画,手部,抄本,古書店で貴重なショウホンを購入した。
1,粧,ショウ・ソウ,めか-す・よそお-う,12画,米部,化粧,朝からケショウに時間をかけた。
1,唇,シン,くちびる,10画,口部,紅唇,彼女はコウシンを引いて微笑んだ。
1,娠,シン,はら-む・みごも-る,10画,女部,妊娠,友人のニンシンを皆で祝福した。
1,津,シン,しる・つ,9画,水部,津波,突然のツナミ警報に避難した。
1,紳,シン,おおおび,11画,糸部,紳士,彼は礼儀正しいシンシとして有名だ。
1,診,シン,み-る,12画,言部,診察,定期的にシンサツを受けている。
1,璽,ジ,しるし,19画,玉部,玉璽,重要文書にギョクジが押された
1,儒,ジュ,,16画,人部,儒学,彼は大学でジュガクを学んでいた。
1,銃,ジュウ,つつ,14画,金部,銃撃,現場付近でジュウゲキ事件が起きた。
1,塾,ジュク,,14画,土部,塾生,多くのジュクセイが試験に挑んだ。
1,循,ジュン,したが-う・めぐ-る,12画,彳部,循環,資源のジュンカン利用が進んでいる。
1,殉,ジュン,したが-う,10画,歹部,殉職,任務中にジュンショクしたと伝えられた。
1,叙,ジョ,の-べる,9画,又部,叙勲,長年の功績でジョクンを受けた。
1,剰,ジョウ,あま-す・あまつさ-え・あま-る,11画,刀部,余剰,倉庫にはヨジョウ在庫が残っている。
1,壌,ジョウ,つち,16画,土部,土壌,畑のドジョウ改良を進めている。
1,浄,ジョウ,きよ-い,9画,水部,浄化,川のジョウカ活動に参加した。
1,醸,ジョウ,かも-す,20画,酉部,醸造,地元でジョウゾウされた酒を味わう。
1,甚,ジン,いた-く・はなは-だ・はなは-だしい,9画,甘部,甚大,災害による被害はジンダイだった。
1,迅,ジン,はげ-しい・はや-い,6画,辵部,迅速,彼はジンソクに対応してくれた。
1,刃,ジン・ニン,き-る・は・やいば,3画,刀部,刃物,子供の手の届く所にハモノを置かない。
1,睡,スイ,ねむ-る,13画,目部,睡魔,会議中にスイマと戦っていた。
1,帥,スイ・ソツ,ひき-いる,9画,巾部,総帥,軍のソウスイが演説を行った。
1,枢,スウ,かなめ・とぼそ,8画,木部,枢機,この情報は軍のスウキに触れている
1,逝,セイ,い-く・ゆ-く,10画,辵部,急逝,名優のキュウセイに惜しむ声が集まる。
1,誓,セイ・ゼイ,ちか-う,14画,言部,宣誓,式典でセンセイの言葉を述べた。
1,析,セキ,さ-く・わ-かれる・わ-ける,8画,木部,解析,専門家がデータをカイセキした。
1,拙,セツ,つたな-い・まず-い,8画,手部,稚拙,彼の文章は少しチセツに見える。
1,窃,セツ,ぬす-む・ひそ-かに,9画,穴部,窃盗,深夜にセットウの被害に遭った。
1,仙,セン,,5画,人部,仙台,出張でセンダイを訪れる予定だ。
1,旋,セン,めぐ-る,11画,方部,旋回,鳥が大きくセンカイして飛んだ。
1,栓,セン,,10画,木部,血栓,足にケッセンが見つかり治療した。
1,薦,セン,こも・しき-りに・し-く・すす-める,16画,艸部,推薦,先生のスイセンで入部が決まった。
1,践,セン,ふ-む,13画,足部,実践,理論だけでなくジッセンも重要だ。
1,遷,セン,うつ-す・うつ-る,15画,辵部,左遷,地方支店へサセンされることになった。
1,禅,セン・ゼン,ゆず-る,13画,示部,座禅,毎朝ザゼンを組んで心を整える。
1,繊,セン・チン,しな-やか・ちい-さい・ほそ-い,17画,糸部,繊維,衣類にはセンイが使用されている。
1,塑,ソ,でく,13画,土部,塑像,広場に大きなソゾウが建てられた。
1,租,ソ,ちんが-り・みつぎ,10画,禾部,租税,国民は所得に応じてソゼイを納める。
1,疎,ソ,うと-い・うと-む・うろ・おろ・おろ-か・おろそ-か・とお-す・とお-る・まば-ら,12画,疋部,疎遠,最近は友人とソエンになっている。
1,壮,ソウ,さか-ん,6画,士部,壮健,祖父は今もソウケンな体を保つ。
1,喪,ソウ,うしな-う・ほろ-びる・ほろ-ぼす・も,12画,口部,喪失,信頼のソウシツは大きな痛手だ。
1,挿,ソウ,さしはさ-む・さ-す・す-げる・はさ-む,10画,手部,挿入,文章に図表をソウニュウして補足した。
1,捜,ソウ,さが-す,10画,手部,捜査,警察が事件のソウサを進めている。
1,槽,ソウ,おけ・かいばおけ・ふね,15画,木部,水槽,庭のスイソウで魚を飼っている。
1,藻,ソウ,あや・も,19画,艸部,藻類,池には様々なソウルイが生息する。
1,霜,ソウ,しも,17画,雨部,霜害,冷夏の影響でソウガイが発生した。
1,荘,ソウ,おごそ-か・しもやしき,9画,艸部,荘厳,寺院のソウゴンな雰囲気に圧倒された。
1,曹,ソウ・ゾウ,つかさ・ともがら,11画,曰部,重曹,掃除にはジュウソウをよく利用する。
1,妥,タ・ダ,おだ-やか・やす-らか,7画,女部,妥協,互いにダキョウして合意へ至った。
1,惰,タ・ダ,おこた-る,12画,心部,怠惰,タイダな生活を改めようと思う。
1,駄,タ・ダ,の-せる,14画,馬部,駄目,あきらめるのはダメだ。
1,堕,ダ,お-ちる・お-とす・お-ろす・こぼ-つ,12画,土部,堕胎,妊婦への支援とダタイ防止が重要だ。
1,泰,タイ,おご-る・やす-い・やす-らか,10画,水部,泰然,彼はタイゼンとして結果を待っていた。
1,濯,タク,あら-う・すす-ぐ,17画,水部,選択,進路のセンタクに悩む学生は多い。
1,但,タン・ダン,ただ・ただ-し,7画,人部,但し,参加は自由、タダシ申込は必要です。
1,棚,,たな,12画,木部,網棚,荷物をアミダナに忘れてしまった。
1,痴,チ,おこ・おろ-か・し-れる,13画,疒部,痴漢,駅でチカン行為が摘発された。
1,逐,チク,お-う,10画,辵部,逐一,作業内容をチクイチ記録している。
1,秩,チツ,つい-で・ふち,10画,禾部,秩序,社会のチツジョを守ることが大切だ。
1,嫡,チャク・テキ,よつぎ,14画,女部,嫡男,彼は社長家のチャクナンとして育った。
1,衷,チュウ,うち・こころ・まこと,9画,衣部,苦衷,彼女はクチュウを打ち明けて涙した
1,弔,チョウ,とむら-う,4画,弓部,弔意,参列者がチョウイを表していた。
1,懲,チョウ,こ-らしめる・こ-らす・こ-りる,18画,心部,懲役,犯人にチョウエキ刑が言い渡された。
1,眺,チョウ,なが-める,11画,目部,眺望,展望台からのチョウボウは見事だった。
1,釣,チョウ,つ-る,11画,金部,釣果,今日のチョウカは大漁だったようだ。
1,挑,チョウ・トウ,いど-む,9画,手部,挑戦,新たな目標へチョウセンを続ける。
1,勅,チョク,,9画,力部,勅語,歴史でチョクゴについて学習した。
1,朕,チン,きざ-し・われ,10画,月部,朕,チンは国家を治める者を指した。
1,塚,,つか,12画,土部,貝塚,遺跡にはカイヅカが残されている。
1,漬,,つ-かる・つ-ける,14画,水部,漬物,祖母のツケモノは昔から評判だ。
1,坪,,つぼ,8画,土部,建坪,この住宅はタテツボが広めである。
1,亭,チン・テイ,あずまや・とど-まる,9画,亠部,亭主,うちのテイシュは料理が得意です。
1,偵,テイ,うかが-う,11画,人部,偵察,隊員が周辺をテイサツして回った。
1,呈,テイ,しめ-す,7画,口部,贈呈,記念品をゾウテイして感謝を伝えた。
1,廷,テイ,にわ,7画,廴部,開廷,裁判のカイテイ時刻が告げられた。
1,艇,テイ,こぶね,13画,舟部,艦艇,港には大型のカンテイが停泊した。
1,邸,テイ,やしき,8画,邑部,邸宅,丘の上に豪華なテイタクが建つ。
1,貞,テイ,ただ-しい,9画,貝部,貞淑,彼女はテイシュクな人柄で知られる。
1,逓,テイ,か-わる・たが-いに,10画,辵部,逓減,売上は年々テイゲンしているという。
1,徹,テツ,とお-る,15画,彳部,徹底,基本からテッテイして学び直した。
1,撤,テツ,す-てる,15画,手部,撤去,古い設備をテッキョすることになった。
1,迭,テツ,か-わる・たが-いに,8画,辵部,更迭,大臣のコウテツが発表された。
1,泥,デイ,どろ・なず-む,8画,水部,雲泥,両者の差はウンデイほど大きかった。
1,悼,トウ,いた-む,11画,心部,追悼,式では故人へのツイトウが捧げられた。
1,搭,トウ,の-せる・の-る,12画,手部,搭載,新型機に最新装置をトウサイした。
1,棟,トウ,かしら・むな・むね,12画,木部,上棟,家のジョウトウ式が無事に終わった。
1,筒,トウ,つつ,12画,竹部,封筒,書類をフウトウに入れて封をした。
1,謄,トウ,うつ-す,17画,言部,謄本,役所でトウホンの交付を受けた。
1,騰,トウ,あ-がる・のぼ-る,20画,馬部,騰貴,物価のトウキが家計を圧迫している。
1,洞,トウ・ドウ,うつろ・うろ・つらぬ-く・ふか-い・ほら,9画,水部,洞察,彼のドウサツは鋭いと評判である。
1,督,トク,うなが-す・かしら・ただ-す・ひき-いる・み-る,13画,目部,提督,艦隊を率いるテイトクが指示を出す。
1,凸,トツ,つばく-む・でこ,5画,凵部,凹凸,道のオウトツで自転車が揺れた。
1,屯,トン,たむろ・なや-む,4画,屮部,屯田,開拓のためトンデン兵が派遣された。
1,軟,ナン,やわ-らか・やわ-らかい,11画,車部,軟化,緊張した空気がナンカしていった。
1,尼,ニ,あま,5画,尸部,尼僧,静かに祈るニソウの姿が見えた。
1,妊,ニン,はら-む・みごも-る,7画,女部,懐妊,妻のカイニンを皆で祝福した
1,忍,ニン,しの-ばせる・しの-ぶ・むご-い,7画,心部,忍耐,成功にはニンタイが欠かせない。
1,寧,ネイ,いずく-んぞ・なん-ぞ・ねんご-ろ・むし-ろ・やす-い,14画,宀部,丁寧,店員がテイネイに説明してくれた。
1,把,ハ,と-る・にぎ-る,7画,手部,把握,現状をハアクして対策を考える。
1,覇,ハ・ハク,はたがしら,19画,襾部,覇権,世界でハケン争いが続いている。
1,廃,ハイ,すた-る・すた-れる・や-める,12画,广部,廃棄,不要品をハイキする手続きをする。
1,培,ハイ・バイ・ホウ,おか・つちか-う,11画,土部,培養,研究室で菌をバイヨウしている。
1,媒,バイ,なかだち,12画,女部,媒体,広告のバイタイとして活用された。
1,賠,バイ,つぐな-う,15画,貝部,賠償,事故の損害をバイショウすることになった。
1,伯,ハク,おさ・かしら・はたがしら,7画,人部,伯爵,物語にはハクシャクが登場していた。
1,漠,バク,すなはら・ひろ-い,13画,水部,漠然,将来像がバクゼンとして見えない。
1,舶,ハク,おおぶね,11画,舟部,船舶,大型センパクが港へ入港してきた。
1,鉢,ハチ・ハツ,,13画,金部,鉢巻,応援のためハチマキを締め直した。
1,閥,ハツ・バツ,いえがら・いさお,14画,門部,派閥,党内のハバツ対立が深刻化した。
1,煩,ハン・ボン,うるさ-い・わずら-う・わずら-わす,13画,火部,煩雑,申請手続きがハンザツで分かりにくい。
1,頒,ハン・フン,し-く・まだら・わ-ける,13画,頁部,頒布,資料が無料でハンプされていた。
1,扉,ヒ,とびら,12画,戸部,鉄扉,倉庫のテッピが重々しく閉まった。
1,披,ヒ,ひら-く,8画,手部,披露,新作映画をヒロウする会が開かれた。
1,妃,ヒ,きさき,6画,女部,后妃,歴史書でコウヒの記録を読んだ。
1,罷,ヒ,つか-れる・まか-る・や-める,15画,网部,罷免,彼は職をヒメンされた。
1,猫,ビョウ,ねこ,11画,犬部,猫背,彼はネコゼだ。
1,賓,ヒン,したが-う・まろうど,15画,貝部,迎賓,市長が来賓をゲイヒンして迎えた。
1,頻,ヒン・ビン,しき-りに・しき-る,17画,頁部,頻繁,最近は会議がヒンパンに行われる。
1,瓶,ビン,かめ,11画,瓦部,瓶詰,ジャムをビンヅメにして保存した。
1,附,フ,つ-く・つ-ける,8画,阜部,附属,大学のフゾク病院で診察を受けた。
1,扶,フ,たす-ける,7画,手部,扶養,家族をフヨウする責任を感じる。
1,譜,フ,しる-す・つづ-く,19画,言部,譜面,フメンを見ながら演奏を練習した。
1,侮,ブ,あなど-る,8画,人部,侮辱,人をブジョクする発言は許されない。
1,沸,フツ,た-てる・にえ・わ-かす・わ-く,8画,水部,沸騰,鍋の湯がフットウしてあふれた。
1,雰,フン,きり,12画,雨部,雰囲気,会場のフンイキが和やかになった。
1,憤,フン,いきどお-る・むずか-る,15画,心部,憤慨,不正発覚に皆がフンガイしていた。
1,丙,ヘイ,ひのえ,5画,一部,丙種,危険物にはヘイシュの区分がある。
1,併,ヘイ,あわ-せる・しか-し・なら-ぶ,8画,人部,併願,二校へヘイガンして結果を待った。
1,塀,ヘイ,かき,12画,土部,土塀,庭を囲むドベイが長く続いていた。
1,幣,ヘイ,ぜに・ぬさ・みてぐら,15画,巾部,貨幣,昔のカヘイが博物館に展示された。
1,弊,ヘイ,つい-える・つか-れる・やぶ-れる,15画,廾部,弊社,ヘイシャでは安全を最優先している。
1,偏,ヘン,かたよ-る・ひとえ-に,11画,人部,偏屈,彼は少しヘンクツな性格である。
1,遍,ヘン,あまね-く,12画,辵部,遍歴,長いヘンレキを経て作家となった。
1,泡,ホウ,あぶく・あわ,8画,水部,気泡,液体にキホウが次々と浮かび上がる。
1,褒,ホウ,ほ-める,15画,衣部,褒美,努力した子へホウビを渡した。
1,俸,ホウ,ふち,10画,人部,年俸,選手のネンポウが大幅に増加した。
1,剖,ホウ・ボウ,さ-く・わ-ける,10画,刀部,解剖,医学部でカイボウ実習を受けた。
1,紡,ホウ・ボウ,つむ-ぐ,10画,糸部,紡績,地域ではボウセキ業が栄えていた。
1,僕,ホク・ボク,しもべ・やつがれ,14画,人部,下僕,王に仕えるゲボクが命を受けた。
1,撲,ホク・ボク,う-つ・なぐ-る・は-る,15画,手部,撲殺,熊をボクサツしたとの記録が残る。
1,朴,ボク,,6画,木部,素朴,彼の文章にはソボクな味わいがある。
1,掘,,ほり,,,釣り堀,休日はツリボリでのんびり過ごした。
1,奔,ホン,はし-る,8画,大部,奔走,資金集めに各地をホンソウした。
1,磨,マ,す-る・と-ぐ・みが-く,16画,石部,摩耗,長年の使用で部品がマモウしている。
1,麻,マ,あさ・しび-れる,11画,麻部,麻酔,手術前にマスイの説明を受けた。
